id,name,rating,reviews,domain,category_vi,address,district,description,search_text
GMAP_DB00001,Hương Rừng (Lien Tuoi) Restaurant,"4,0",105,Khác,địa điểm,"64 Hoàng Văn Thái, Phường Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Hương Rừng (Lien Tuoi) Restaurant là địa điểm tại 64 Hoàng Văn Thái, Phường Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,0 sao (105 đánh giá).","Hương Rừng (Lien Tuoi) Restaurant Khác địa điểm 64 Hoàng Văn Thái, Phường Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00002,Sở chỉ huy Chiến dịch Điện Biên Phủ,"4,7",324,Khác,địa điểm,"F535+GX9 Di tích Lịch sử, Quốc lộ 279B, bản Phăng, h. Điện Biên, Điện Biên, Việt Nam",Điện Biên,"Sở chỉ huy Chiến dịch Điện Biên Phủ là địa điểm tại F535+GX9 Di tích Lịch sử, Quốc lộ 279B, bản Phăng, h. Điện Biên, Điện Biên, Việt Nam. Được đánh giá 4,7 sao (324 đánh giá).","Sở chỉ huy Chiến dịch Điện Biên Phủ Khác địa điểm F535+GX9 Di tích Lịch sử, Quốc lộ 279B, bản Phăng, h. Điện Biên, Điện Biên, Việt Nam"
GMAP_DB00003,Nhà Hàng Nhất Khương,"4,1",56,Khác,địa điểm,"Na Lay, Mường Lay, Điện Biên, Việt Nam",Điện Biên,"Nhà Hàng Nhất Khương là địa điểm tại Na Lay, Mường Lay, Điện Biên, Việt Nam. Được đánh giá 4,1 sao (56 đánh giá).","Nhà Hàng Nhất Khương Khác địa điểm Na Lay, Mường Lay, Điện Biên, Việt Nam"
GMAP_DB00004,A Thía Homestay Villa,"4,8",95,Khác,địa điểm,"92CC+WGF, Nam Thanh, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"A Thía Homestay Villa là địa điểm tại 92CC+WGF, Nam Thanh, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,8 sao (95 đánh giá).","A Thía Homestay Villa Khác địa điểm 92CC+WGF, Nam Thanh, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00005,Nhà hàng HOÀ MINH PIÊU QUÁN,"4,4",26,Khác,địa điểm,"55 Trần Đăng Ninh, Thanh Bình, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Nhà hàng HOÀ MINH PIÊU QUÁN là địa điểm tại 55 Trần Đăng Ninh, Thanh Bình, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,4 sao (26 đánh giá).","Nhà hàng HOÀ MINH PIÊU QUÁN Khác địa điểm 55 Trần Đăng Ninh, Thanh Bình, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00006,Nhà Hàng Cường Chỉnh,"4,3",72,Khác,địa điểm,"108 Hoàng Công Chất, Phường Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Nhà Hàng Cường Chỉnh là địa điểm tại 108 Hoàng Công Chất, Phường Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,3 sao (72 đánh giá).","Nhà Hàng Cường Chỉnh Khác địa điểm 108 Hoàng Công Chất, Phường Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00007,Coffee nét xưa,"4,3",59,Khác,địa điểm,"45 Trần Đăng Ninh, Thanh Bình, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Coffee nét xưa là địa điểm tại 45 Trần Đăng Ninh, Thanh Bình, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,3 sao (59 đánh giá).","Coffee nét xưa Khác địa điểm 45 Trần Đăng Ninh, Thanh Bình, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00008,Quán Huệ Trang (Đỉnh đèo Pha Đin),"4,0",105,Khác,địa điểm,"HG8J+P64, QL6, Toả Tình, Tuần Giáo, Điện Biên, Việt Nam",Điện Biên,"Quán Huệ Trang (Đỉnh đèo Pha Đin) là địa điểm tại HG8J+P64, QL6, Toả Tình, Tuần Giáo, Điện Biên, Việt Nam. Được đánh giá 4,0 sao (105 đánh giá).","Quán Huệ Trang (Đỉnh đèo Pha Đin) Khác địa điểm HG8J+P64, QL6, Toả Tình, Tuần Giáo, Điện Biên, Việt Nam"
GMAP_DB00009,Ecolodge Kê Nênh,"4,6",350,Khác,địa điểm,"Thanh Minh, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Ecolodge Kê Nênh là địa điểm tại Thanh Minh, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,6 sao (350 đánh giá).","Ecolodge Kê Nênh Khác địa điểm Thanh Minh, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00010,BẾP NÀNG KIM,"4,6",17,Khác,địa điểm,"Bản Ten, B, Phường, Mường Thanh, Điện Biên 32000, Việt Nam",Điện Biên,"BẾP NÀNG KIM là địa điểm tại Bản Ten, B, Phường, Mường Thanh, Điện Biên 32000, Việt Nam. Được đánh giá 4,6 sao (17 đánh giá).","BẾP NÀNG KIM Khác địa điểm Bản Ten, B, Phường, Mường Thanh, Điện Biên 32000, Việt Nam"
GMAP_DB00011,Đồi D1,"4,4",248,Khác,địa điểm,"92V9+3RV, Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Đồi D1 là địa điểm tại 92V9+3RV, Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,4 sao (248 đánh giá).","Đồi D1 Khác địa điểm 92V9+3RV, Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00012,Đồi A1,"4,5",2.748,Khác,địa điểm,"92M9+53F, Hoàng Văn Thái, Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Đồi A1 là địa điểm tại 92M9+53F, Hoàng Văn Thái, Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,5 sao (2.748 đánh giá).","Đồi A1 Khác địa điểm 92M9+53F, Hoàng Văn Thái, Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00013,Nhà hàng Dân Tộc Quán,"4,1",918,Khác,địa điểm,"Thanh Trường, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Nhà hàng Dân Tộc Quán là địa điểm tại Thanh Trường, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,1 sao (918 đánh giá).","Nhà hàng Dân Tộc Quán Khác địa điểm Thanh Trường, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00014,Lẩu Then Quán,"4,1",264,Khác,địa điểm,"92HG+9R7, Nam Thanh, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Lẩu Then Quán là địa điểm tại 92HG+9R7, Nam Thanh, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,1 sao (264 đánh giá).","Lẩu Then Quán Khác địa điểm 92HG+9R7, Nam Thanh, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00015,Nhà Hàng Bình Nguyên,"4,8",24,Khác,địa điểm,"Đường Nguyễn Hữu Thọ, Thanh Bình, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Nhà Hàng Bình Nguyên là địa điểm tại Đường Nguyễn Hữu Thọ, Thanh Bình, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,8 sao (24 đánh giá).","Nhà Hàng Bình Nguyên Khác địa điểm Đường Nguyễn Hữu Thọ, Thanh Bình, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00016,Tượng Đài Kéo Pháo,"4,6",116,Khác,địa điểm,"F3C5+4V5, Nà Nhạn, h. Điện Biên, Điện Biên, Việt Nam",Điện Biên,"Tượng Đài Kéo Pháo là địa điểm tại F3C5+4V5, Nà Nhạn, h. Điện Biên, Điện Biên, Việt Nam. Được đánh giá 4,6 sao (116 đánh giá).","Tượng Đài Kéo Pháo Khác địa điểm F3C5+4V5, Nà Nhạn, h. Điện Biên, Điện Biên, Việt Nam"
GMAP_DB00017,PU Pha Đin.,"4,4",49,Khác,địa điểm,"Háng Tàu, Tuần Giáo, Điện Biên, Việt Nam",Điện Biên,"PU Pha Đin. là địa điểm tại Háng Tàu, Tuần Giáo, Điện Biên, Việt Nam. Được đánh giá 4,4 sao (49 đánh giá).","PU Pha Đin. Khác địa điểm Háng Tàu, Tuần Giáo, Điện Biên, Việt Nam"
GMAP_DB00018,Cảnh đẹp!,Chưa có,0,Khác,địa điểm,"R3FC+7GH, Sa Lông, Mường Chà, Điện Biên, Việt Nam",Điện Biên,"Cảnh đẹp! là địa điểm tại R3FC+7GH, Sa Lông, Mường Chà, Điện Biên, Việt Nam. Được đánh giá Chưa có sao (0 đánh giá).","Cảnh đẹp! Khác địa điểm R3FC+7GH, Sa Lông, Mường Chà, Điện Biên, Việt Nam"
GMAP_DB00019,Nhà Hàng Anh Bằng,"4,0",4,Khác,địa điểm,"F535+H52, Mường Phăng, h. Điện Biên, Điện Biên, Việt Nam",Điện Biên,"Nhà Hàng Anh Bằng là địa điểm tại F535+H52, Mường Phăng, h. Điện Biên, Điện Biên, Việt Nam. Được đánh giá 4,0 sao (4 đánh giá).","Nhà Hàng Anh Bằng Khác địa điểm F535+H52, Mường Phăng, h. Điện Biên, Điện Biên, Việt Nam"
GMAP_DB00020,Tượng đài Chiến Thắng Điện Biên Phủ,"4,6",1.345,Khác,địa điểm,"92R9+VH2, Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Tượng đài Chiến Thắng Điện Biên Phủ là địa điểm tại 92R9+VH2, Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,6 sao (1.345 đánh giá).","Tượng đài Chiến Thắng Điện Biên Phủ Khác địa điểm 92R9+VH2, Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00021,Cộng cà phê,"4,9",266,Khác,địa điểm,"50-52 Hoàng Văn Thái, Phường, Điện Biên Phủ, Điện Biên 32000, Việt Nam",Điện Biên,"Cộng cà phê là địa điểm tại 50-52 Hoàng Văn Thái, Phường, Điện Biên Phủ, Điện Biên 32000, Việt Nam. Được đánh giá 4,9 sao (266 đánh giá).","Cộng cà phê Khác địa điểm 50-52 Hoàng Văn Thái, Phường, Điện Biên Phủ, Điện Biên 32000, Việt Nam"
GMAP_DB00022,Công Ty Du Lịch Điện Biên Cùng Thổ Địa,"4,6",9,Khác,địa điểm,"Số nhà 79, Tổ dân phố 5, Tp. Điện Biên Phủ, Điện Biên 32100, Việt Nam",Điện Biên,"Công Ty Du Lịch Điện Biên Cùng Thổ Địa là địa điểm tại Số nhà 79, Tổ dân phố 5, Tp. Điện Biên Phủ, Điện Biên 32100, Việt Nam. Được đánh giá 4,6 sao (9 đánh giá).","Công Ty Du Lịch Điện Biên Cùng Thổ Địa Khác địa điểm Số nhà 79, Tổ dân phố 5, Tp. Điện Biên Phủ, Điện Biên 32100, Việt Nam"
GMAP_DB00023,Quảng trường 7 - 5,"4,4",249,Khác,địa điểm,"92Q8+897, Đ. Võ Nguyên Giáp, Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Quảng trường 7 - 5 là địa điểm tại 92Q8+897, Đ. Võ Nguyên Giáp, Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,4 sao (249 đánh giá).","Quảng trường 7 - 5 Khác địa điểm 92Q8+897, Đ. Võ Nguyên Giáp, Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00024,Café de Măng Đen,"4,5",84,Khác,địa điểm,"92P8+M6V, 7 Tháng 5, Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Café de Măng Đen là địa điểm tại 92P8+M6V, 7 Tháng 5, Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,5 sao (84 đánh giá).","Café de Măng Đen Khác địa điểm 92P8+M6V, 7 Tháng 5, Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00025,Bảo tàng Chiến thắng Điện Biên Phủ,"4,7",1.077,Khác,địa điểm,"Đ. Võ Nguyên Giáp, tổ 1, Điện Biên Phủ, Điện Biên 380000, Việt Nam",Điện Biên,"Bảo tàng Chiến thắng Điện Biên Phủ là địa điểm tại Đ. Võ Nguyên Giáp, tổ 1, Điện Biên Phủ, Điện Biên 380000, Việt Nam. Được đánh giá 4,7 sao (1.077 đánh giá).","Bảo tàng Chiến thắng Điện Biên Phủ Khác địa điểm Đ. Võ Nguyên Giáp, tổ 1, Điện Biên Phủ, Điện Biên 380000, Việt Nam"
GMAP_DB00026,"Nhà hàng Dê 79 - Chuyên các món Dê, Gà, Lẩu","3,8",116,Khác,địa điểm,"Đường Nguyễn Hữu Thọ, Tổ 01, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Nhà hàng Dê 79 - Chuyên các món Dê, Gà, Lẩu là địa điểm tại Đường Nguyễn Hữu Thọ, Tổ 01, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 3,8 sao (116 đánh giá).","Nhà hàng Dê 79 - Chuyên các món Dê, Gà, Lẩu Khác địa điểm Đường Nguyễn Hữu Thọ, Tổ 01, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00027,Mộc Quán Điện Biên,"4,1",188,Khác,địa điểm,"111 Đ. Nguyễn Chí Thanh, Phường Mường Thanh, Điện Biên Phủ, Điện Biên 390000, Việt Nam",Điện Biên,"Mộc Quán Điện Biên là địa điểm tại 111 Đ. Nguyễn Chí Thanh, Phường Mường Thanh, Điện Biên Phủ, Điện Biên 390000, Việt Nam. Được đánh giá 4,1 sao (188 đánh giá).","Mộc Quán Điện Biên Khác địa điểm 111 Đ. Nguyễn Chí Thanh, Phường Mường Thanh, Điện Biên Phủ, Điện Biên 390000, Việt Nam"
GMAP_DB00028,NHÀ HÀNG - 70 - CƠM TỰ CHỌN - CƠM RANG - CÁC MÓN ĂN DÂN TỘC.,"3,9",75,Khác,địa điểm,"70 Đ. Nguyễn Chí Thanh, Phường Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"NHÀ HÀNG - 70 - CƠM TỰ CHỌN - CƠM RANG - CÁC MÓN ĂN DÂN TỘC. là địa điểm tại 70 Đ. Nguyễn Chí Thanh, Phường Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 3,9 sao (75 đánh giá).","NHÀ HÀNG - 70 - CƠM TỰ CHỌN - CƠM RANG - CÁC MÓN ĂN DÂN TỘC. Khác địa điểm 70 Đ. Nguyễn Chí Thanh, Phường Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00029,Nhà Hàng ẩm thực dân tộc Văn Phong,"4,2",121,Khác,địa điểm,"Số nhà 06, bản Noong Chứn, Tp. Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Nhà Hàng ẩm thực dân tộc Văn Phong là địa điểm tại Số nhà 06, bản Noong Chứn, Tp. Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,2 sao (121 đánh giá).","Nhà Hàng ẩm thực dân tộc Văn Phong Khác địa điểm Số nhà 06, bản Noong Chứn, Tp. Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00030,Bình Minh Pha Đin,"4,8",61,Khác,địa điểm,"HG48+VVJ, QL6, Háng Tàu, Tuần Giáo, Điện Biên, Việt Nam",Điện Biên,"Bình Minh Pha Đin là địa điểm tại HG48+VVJ, QL6, Háng Tàu, Tuần Giáo, Điện Biên, Việt Nam. Được đánh giá 4,8 sao (61 đánh giá).","Bình Minh Pha Đin Khác địa điểm HG48+VVJ, QL6, Háng Tàu, Tuần Giáo, Điện Biên, Việt Nam"
GMAP_DB00031,Quà Tây Bắc,"4,9",12,Khác,địa điểm,"Phố 5, Điện Biên Phủ, Điện Biên 380000, Việt Nam",Điện Biên,"Quà Tây Bắc là địa điểm tại Phố 5, Điện Biên Phủ, Điện Biên 380000, Việt Nam. Được đánh giá 4,9 sao (12 đánh giá).","Quà Tây Bắc Khác địa điểm Phố 5, Điện Biên Phủ, Điện Biên 380000, Việt Nam"
GMAP_DB00032,Quán Vịt Cỏ Vân Đình Thanh Vân,"4,9",9,Khác,địa điểm,"499 Võ Nguyên Giáp, Phường Him Lam, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Quán Vịt Cỏ Vân Đình Thanh Vân là địa điểm tại 499 Võ Nguyên Giáp, Phường Him Lam, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,9 sao (9 đánh giá).","Quán Vịt Cỏ Vân Đình Thanh Vân Khác địa điểm 499 Võ Nguyên Giáp, Phường Him Lam, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00033,Nhà Hàng Cá Hồi Phương Đông Vượng Phát,"3,8",5,Khác,địa điểm,"Thanh Bình, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Nhà Hàng Cá Hồi Phương Đông Vượng Phát là địa điểm tại Thanh Bình, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 3,8 sao (5 đánh giá).","Nhà Hàng Cá Hồi Phương Đông Vượng Phát Khác địa điểm Thanh Bình, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00034,Đặc Sản Điện Biên,"4,0",4,Khác,địa điểm,"Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Đặc Sản Điện Biên là địa điểm tại Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,0 sao (4 đánh giá).","Đặc Sản Điện Biên Khác địa điểm Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00035,Quán Chay Yên Ninh vegetarian restaurant,"4,9",304,Khác,địa điểm,"257 Tổ 4, Tân Thanh, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Quán Chay Yên Ninh vegetarian restaurant là địa điểm tại 257 Tổ 4, Tân Thanh, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,9 sao (304 đánh giá).","Quán Chay Yên Ninh vegetarian restaurant Khác địa điểm 257 Tổ 4, Tân Thanh, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00036,Bản Du Lịch Cộng Đồng Nà Sự,"4,5",68,Khác,địa điểm,"bản Nà Sư, Nậm Pồ, Điện Biên, Việt Nam",Điện Biên,"Bản Du Lịch Cộng Đồng Nà Sự là địa điểm tại bản Nà Sư, Nậm Pồ, Điện Biên, Việt Nam. Được đánh giá 4,5 sao (68 đánh giá).","Bản Du Lịch Cộng Đồng Nà Sự Khác địa điểm bản Nà Sư, Nậm Pồ, Điện Biên, Việt Nam"
GMAP_DB00037,Hầm chỉ huy Tập đoàn cứ điểm Điện Biên Phủ,"4,3",2.459,Khác,địa điểm,"92M6+X7F, Nguyễn Hữu Thọ, Thanh Trường, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Hầm chỉ huy Tập đoàn cứ điểm Điện Biên Phủ là địa điểm tại 92M6+X7F, Nguyễn Hữu Thọ, Thanh Trường, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,3 sao (2.459 đánh giá).","Hầm chỉ huy Tập đoàn cứ điểm Điện Biên Phủ Khác địa điểm 92M6+X7F, Nguyễn Hữu Thọ, Thanh Trường, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00038,Nhà hàng - Cafe Ẩm thực Mường Then,"4,7",6,Khác,địa điểm,"53 Trần Đăng Ninh, Thanh Bình, Điện Biên Phủ, Điện Biên 381040, Việt Nam",Điện Biên,"Nhà hàng - Cafe Ẩm thực Mường Then là địa điểm tại 53 Trần Đăng Ninh, Thanh Bình, Điện Biên Phủ, Điện Biên 381040, Việt Nam. Được đánh giá 4,7 sao (6 đánh giá).","Nhà hàng - Cafe Ẩm thực Mường Then Khác địa điểm 53 Trần Đăng Ninh, Thanh Bình, Điện Biên Phủ, Điện Biên 381040, Việt Nam"
GMAP_DB00039,Nhà Hàng Pha Đin,"3,8",100,Khác,địa điểm,"Quốc Lộ 279, Thanh Hưng, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Nhà Hàng Pha Đin là địa điểm tại Quốc Lộ 279, Thanh Hưng, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 3,8 sao (100 đánh giá).","Nhà Hàng Pha Đin Khác địa điểm Quốc Lộ 279, Thanh Hưng, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00040,Nhà Hàng Hưng Thủy,"4,9",16,Khác,địa điểm,"Số 69 Tổ 4, Thanh Trường, Điện Biên Phủ, Điện Biên 380000, Việt Nam",Điện Biên,"Nhà Hàng Hưng Thủy là địa điểm tại Số 69 Tổ 4, Thanh Trường, Điện Biên Phủ, Điện Biên 380000, Việt Nam. Được đánh giá 4,9 sao (16 đánh giá).","Nhà Hàng Hưng Thủy Khác địa điểm Số 69 Tổ 4, Thanh Trường, Điện Biên Phủ, Điện Biên 380000, Việt Nam"
GMAP_DB00041,Nhà Hàng & Khách Sạn Tây Bắc,"4,3",160,Khác,địa điểm,"HCQC+QFC, Ngã 3, Tuần Giáo, Điện Biên 382502, Việt Nam",Điện Biên,"Nhà Hàng & Khách Sạn Tây Bắc là địa điểm tại HCQC+QFC, Ngã 3, Tuần Giáo, Điện Biên 382502, Việt Nam. Được đánh giá 4,3 sao (160 đánh giá).","Nhà Hàng & Khách Sạn Tây Bắc Khác địa điểm HCQC+QFC, Ngã 3, Tuần Giáo, Điện Biên 382502, Việt Nam"
GMAP_DB00042,Tượng đài Mường Phăng,"4,2",57,Khác,địa điểm,"F3C9+3WC, Nà Nhạn, h. Điện Biên, Điện Biên, Việt Nam",Điện Biên,"Tượng đài Mường Phăng là địa điểm tại F3C9+3WC, Nà Nhạn, h. Điện Biên, Điện Biên, Việt Nam. Được đánh giá 4,2 sao (57 đánh giá).","Tượng đài Mường Phăng Khác địa điểm F3C9+3WC, Nà Nhạn, h. Điện Biên, Điện Biên, Việt Nam"
GMAP_DB00043,Bản Văn Hóa Du Lịch Phiềng Lơi,"4,5",104,Khác,địa điểm,"C2HW+6PC, Thanh Minh, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Bản Văn Hóa Du Lịch Phiềng Lơi là địa điểm tại C2HW+6PC, Thanh Minh, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,5 sao (104 đánh giá).","Bản Văn Hóa Du Lịch Phiềng Lơi Khác địa điểm C2HW+6PC, Thanh Minh, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00044,CHO THUÊ XE DU LỊCH TỪ _4 & 45 _ XE MÁY motorbike rental,"4,8",377,Khác,địa điểm,"Số 189 phố 12, Phường Mường Thanh, Điện Biên Phủ, Điện Biên 276869, Việt Nam",Điện Biên,"CHO THUÊ XE DU LỊCH TỪ _4 & 45 _ XE MÁY motorbike rental là địa điểm tại Số 189 phố 12, Phường Mường Thanh, Điện Biên Phủ, Điện Biên 276869, Việt Nam. Được đánh giá 4,8 sao (377 đánh giá).","CHO THUÊ XE DU LỊCH TỪ _4 & 45 _ XE MÁY motorbike rental Khác địa điểm Số 189 phố 12, Phường Mường Thanh, Điện Biên Phủ, Điện Biên 276869, Việt Nam"
GMAP_DB00045,Cầu Mường Thanh,"4,4",725,Khác,địa điểm,"Bế Văn Đàn, Thanh Trường, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Cầu Mường Thanh là địa điểm tại Bế Văn Đàn, Thanh Trường, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,4 sao (725 đánh giá).","Cầu Mường Thanh Khác địa điểm Bế Văn Đàn, Thanh Trường, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00046,Nhà hàng Song Hỷ,"3,9",101,Khác,địa điểm,"Số 236 tổ 1, Phường Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Nhà hàng Song Hỷ là địa điểm tại Số 236 tổ 1, Phường Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 3,9 sao (101 đánh giá).","Nhà hàng Song Hỷ Khác địa điểm Số 236 tổ 1, Phường Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00047,Khu du lịch sinh thái him lam,"4,2",838,Khác,địa điểm,"Tổ 6, Điện Biên Phủ, Điện Biên 32000, Việt Nam",Điện Biên,"Khu du lịch sinh thái him lam là địa điểm tại Tổ 6, Điện Biên Phủ, Điện Biên 32000, Việt Nam. Được đánh giá 4,2 sao (838 đánh giá).","Khu du lịch sinh thái him lam Khác địa điểm Tổ 6, Điện Biên Phủ, Điện Biên 32000, Việt Nam"
GMAP_DB00048,Suối Khoáng nóng biên phòng Thanh Luông,"4,0",173,Khác,địa điểm,"CW2R+P8W, Nậm Nen, h. Điện Biên, Điện Biên, Việt Nam",Điện Biên,"Suối Khoáng nóng biên phòng Thanh Luông là địa điểm tại CW2R+P8W, Nậm Nen, h. Điện Biên, Điện Biên, Việt Nam. Được đánh giá 4,0 sao (173 đánh giá).","Suối Khoáng nóng biên phòng Thanh Luông Khác địa điểm CW2R+P8W, Nậm Nen, h. Điện Biên, Điện Biên, Việt Nam"
GMAP_DB00049,Nhà hàng Ẩm Thực Việt Nhật - Điện Biên,"4,1",18,Khác,địa điểm,"26 Hoàng Văn Thái, Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Nhà hàng Ẩm Thực Việt Nhật - Điện Biên là địa điểm tại 26 Hoàng Văn Thái, Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,1 sao (18 đánh giá).","Nhà hàng Ẩm Thực Việt Nhật - Điện Biên Khác địa điểm 26 Hoàng Văn Thái, Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00050,Cà Phê Phương Huyền,"4,2",400,Khác,địa điểm,"Thanh Bình, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Cà Phê Phương Huyền là địa điểm tại Thanh Bình, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,2 sao (400 đánh giá).","Cà Phê Phương Huyền Khác địa điểm Thanh Bình, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00051,Nhà Hàng Khách Sạn A1,"4,2",18,Khác,địa điểm,"3 Hoàng Công Chất, Phường Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Nhà Hàng Khách Sạn A1 là địa điểm tại 3 Hoàng Công Chất, Phường Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,2 sao (18 đánh giá).","Nhà Hàng Khách Sạn A1 Khác địa điểm 3 Hoàng Công Chất, Phường Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00052,Cánh đồng Mường Thanh,"4,7",87,Khác,địa điểm,"9289+G96, Unnamed Road, Thanh Xương, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Cánh đồng Mường Thanh là địa điểm tại 9289+G96, Unnamed Road, Thanh Xương, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,7 sao (87 đánh giá).","Cánh đồng Mường Thanh Khác địa điểm 9289+G96, Unnamed Road, Thanh Xương, Điện Biên Phủ, Điện Biên, Việt Nam"
